Label (Grouping),Year,Total:,No Formal Education,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Census Tract 1, Multnomah County, Oregon!!Estimate",2019,"5,117",0,0,0,0,0,0,0,0,0,1,0,0,0,35,30,310,126,224,621,277,"1,894",990,365,244
"Census Tract 2, Multnomah County, Oregon!!Estimate",2019,"4,855",75,0,0,0,0,0,16,0,0,0,1,0,0,13,33,476,59,367,835,292,"1,732",576,212,168
"Census Tract 3.01, Multnomah County, Oregon!!Estimate",2019,"3,573",17,0,0,0,0,0,0,0,0,21,21,18,20,48,38,468,94,99,593,214,"1,038",707,100,77
"Census Tract 3.02, Multnomah County, Oregon!!Estimate",2019,"5,284",0,0,0,0,0,0,0,0,0,0,0,9,22,0,65,248,64,117,523,284,"1,872","1,515",389,176
"Census Tract 4.01, Multnomah County, Oregon!!Estimate",2019,"2,904",6,0,0,0,0,10,0,0,13,0,0,0,0,34,37,326,57,137,434,121,942,483,224,80
"Census Tract 4.02, Multnomah County, Oregon!!Estimate",2019,"2,668",16,13,0,0,0,0,0,0,0,0,0,0,17,26,50,333,166,142,396,231,858,329,50,41
"Census Tract 5.01, Multnomah County, Oregon!!Estimate",2019,"3,221",39,0,0,0,0,0,0,14,0,17,41,10,48,65,59,307,242,195,589,179,907,366,56,87
"Census Tract 5.02, Multnomah County, Oregon!!Estimate",2019,"3,689",180,0,0,0,0,17,0,13,17,12,24,22,20,45,30,514,145,304,590,305,993,290,129,39
"Census Tract 6.01, Multnomah County, Oregon!!Estimate",2019,"4,070",146,0,0,0,27,14,24,46,66,0,57,105,77,45,117,776,204,400,661,293,742,232,38,0
"Census Tract 6.02, Multnomah County, Oregon!!Estimate",2019,"4,369",124,0,0,0,0,0,8,106,60,0,189,163,173,25,123,878,214,179,523,418,872,273,27,14
"Census Tract 7.01, Multnomah County, Oregon!!Estimate",2019,"3,451",55,0,0,7,0,32,0,0,0,0,52,13,12,2,51,300,90,164,660,278,"1,171",496,28,40
"Census Tract 7.02, Multnomah County, Oregon!!Estimate",2019,"4,254",129,0,0,0,16,0,0,6,12,0,28,52,0,56,43,575,140,231,593,435,"1,158",595,107,78
"Census Tract 8.01, Multnomah County, Oregon!!Estimate",2019,"3,984",92,0,0,0,0,0,0,0,0,0,12,0,19,19,0,316,160,164,746,226,"1,265",581,175,209
"Census Tract 8.02, Multnomah County, Oregon!!Estimate",2019,"3,852",26,0,0,0,0,0,0,0,54,19,43,145,0,27,38,270,140,236,617,342,"1,258",549,51,37
"Census Tract 9.01, Multnomah County, Oregon!!Estimate",2019,"3,743",18,0,0,0,0,0,0,0,25,0,0,0,2,0,21,196,43,88,336,260,"1,586",839,208,121
"Census Tract 9.02, Multnomah County, Oregon!!Estimate",2019,"3,624",30,0,0,0,13,18,1,0,0,0,64,26,71,24,27,404,79,215,668,217,"1,157",409,159,42
"Census Tract 10, Multnomah County, Oregon!!Estimate",2019,"4,880",41,0,0,0,0,0,0,0,0,0,39,54,38,0,99,358,67,233,773,262,"1,658",894,295,69
"Census Tract 11.01, Multnomah County, Oregon!!Estimate",2019,"2,461",18,0,0,0,0,0,0,0,2,0,15,20,24,0,13,306,61,171,405,153,830,355,58,30
"Census Tract 11.02, Multnomah County, Oregon!!Estimate",2019,"1,164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,4,73,161,66,470,199,77,33
"Census Tract 12.01, Multnomah County, Oregon!!Estimate",2019,"4,339",25,0,0,0,0,0,0,0,8,0,0,0,0,8,0,291,139,251,754,176,"1,740",561,164,222
"Census Tract 12.02, Multnomah County, Oregon!!Estimate",2019,"2,882",0,0,0,0,0,0,10,0,0,0,0,0,1,8,0,188,20,100,338,101,"1,137",634,208,137
"Census Tract 13.01, Multnomah County, Oregon!!Estimate",2019,"3,360",34,0,0,0,0,5,0,0,5,0,0,0,5,21,17,182,35,137,510,143,"1,378",565,216,107
"Census Tract 13.02, Multnomah County, Oregon!!Estimate",2019,"2,724",24,0,0,0,0,0,0,0,0,0,0,0,8,0,31,119,9,88,326,100,"1,150",569,225,75
"Census Tract 14, Multnomah County, Oregon!!Estimate",2019,"4,710",48,0,0,0,0,0,0,0,0,23,17,0,96,0,74,169,148,161,869,238,"1,682",864,165,156
"Census Tract 15, Multnomah County, Oregon!!Estimate",2019,"2,602",5,0,0,0,0,0,0,0,0,0,0,0,0,9,11,117,32,160,384,178,810,522,233,141
"Census Tract 16.01, Multnomah County, Oregon!!Estimate",2019,"5,021",21,0,0,0,0,6,0,0,36,8,36,47,11,97,162,556,114,261,918,204,"1,580",772,178,14
"Census Tract 16.02, Multnomah County, Oregon!!Estimate",2019,"3,419",28,0,0,0,14,32,0,0,0,9,2,30,113,16,25,598,84,289,541,323,927,318,41,29
"Census Tract 17.01, Multnomah County, Oregon!!Estimate",2019,"5,160",91,0,0,0,0,0,0,14,19,0,0,26,19,23,0,683,107,298,923,296,"1,663",786,106,106
"Census Tract 17.02, Multnomah County, Oregon!!Estimate",2019,"3,039",98,0,0,1,0,0,0,0,126,0,10,0,6,5,15,570,76,251,585,286,680,289,41,0
"Census Tract 18.01, Multnomah County, Oregon!!Estimate",2019,"3,719",60,3,9,0,31,0,0,4,21,0,16,8,38,3,67,499,139,209,668,207,"1,101",436,72,128
"Census Tract 18.02, Multnomah County, Oregon!!Estimate",2019,"3,099",0,0,0,0,0,0,0,0,0,0,0,28,0,0,26,288,42,149,529,228,"1,130",458,132,89
"Census Tract 19, Multnomah County, Oregon!!Estimate",2019,"3,650",0,0,0,0,0,0,0,11,0,0,6,5,8,15,0,212,63,131,289,134,"1,478",722,389,187
"Census Tract 20, Multnomah County, Oregon!!Estimate",2019,"5,658",17,0,0,0,0,0,2,0,0,0,0,3,27,0,41,258,117,206,697,306,"2,603","1,069",274,38
"Census Tract 21, Multnomah County, Oregon!!Estimate",2019,"2,441",0,0,0,0,0,0,0,0,0,0,20,7,18,13,21,211,71,58,561,85,"1,066",253,30,27
"Census Tract 22.03, Multnomah County, Oregon!!Estimate",2019,"3,596",29,0,0,0,0,0,0,0,0,0,42,18,10,17,32,285,109,114,448,177,"1,277",777,146,115
"Census Tract 23.03, Multnomah County, Oregon!!Estimate",2019,"2,417",0,9,0,0,0,0,0,0,0,0,0,21,0,15,26,164,74,93,437,185,958,305,111,19
"Census Tract 24.01, Multnomah County, Oregon!!Estimate",2019,"2,060",0,0,0,0,0,0,0,0,0,0,10,0,10,47,40,56,33,98,210,106,661,529,171,89
"Census Tract 24.02, Multnomah County, Oregon!!Estimate",2019,"2,959",0,0,0,0,0,0,0,0,0,0,0,0,18,30,0,207,59,122,427,131,"1,129",484,229,123
"Census Tract 25.01, Multnomah County, Oregon!!Estimate",2019,"3,341",10,0,0,0,0,0,0,6,0,0,7,12,22,7,0,163,17,56,255,64,"1,249",801,475,197
"Census Tract 25.02, Multnomah County, Oregon!!Estimate",2019,"3,939",34,0,0,0,0,0,0,0,0,0,14,33,0,0,0,231,75,139,323,298,"1,843",639,270,40
"Census Tract 26, Multnomah County, Oregon!!Estimate",2019,"1,937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,72,170,82,807,471,185,105
"Census Tract 27.01, Multnomah County, Oregon!!Estimate",2019,"2,330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,97,36,28,287,23,"1,084",502,154,101
"Census Tract 27.02, Multnomah County, Oregon!!Estimate",2019,"2,600",22,0,0,0,0,0,0,16,0,0,0,30,13,47,42,192,127,53,330,162,948,430,74,114
"Census Tract 28.01, Multnomah County, Oregon!!Estimate",2019,"2,229",29,0,0,0,0,0,0,0,0,0,0,0,41,0,7,194,6,80,301,138,844,416,118,55
"Census Tract 28.02, Multnomah County, Oregon!!Estimate",2019,"2,626",3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,245,81,162,350,191,927,527,57,61
"Census Tract 29.01, Multnomah County, Oregon!!Estimate",2019,"3,670",93,0,0,0,0,0,0,7,0,0,0,0,40,62,35,506,94,234,506,277,986,640,105,85
"Census Tract 29.02, Multnomah County, Oregon!!Estimate",2019,"4,314",142,0,0,0,0,0,0,0,0,0,0,115,16,0,59,480,37,204,727,321,"1,418",603,173,19
"Census Tract 29.03, Multnomah County, Oregon!!Estimate",2019,"3,897",15,0,0,0,0,0,85,0,16,0,0,87,0,63,35,924,95,256,620,387,963,255,54,42
"Census Tract 30, Multnomah County, Oregon!!Estimate",2019,"3,826",47,0,0,0,0,0,0,0,0,0,17,0,25,10,0,243,93,248,537,235,"1,262",735,241,133
