Census Tract,Year,Education Total,No Formal Education,Elementary School,Middle School,High School,Some college/no degree,Bachelor's degree,Graduate Degree
"Census Tract 1, Multnomah County, Oregon",2019,"5,117",0,0,1,501,1122,"1,894",1599
"Census Tract 2, Multnomah County, Oregon",2019,"4,855",75,16,1,581,1494,"1,732",956
"Census Tract 3.01, Multnomah County, Oregon",2019,"3,573",17,0,42,686,906,"1,038",884
"Census Tract 3.02, Multnomah County, Oregon",2019,"5,284",0,0,0,408,924,"1,872",2080
"Census Tract 4.01, Multnomah County, Oregon",2019,"2,904",6,10,13,454,692,942,787
"Census Tract 4.02, Multnomah County, Oregon",2019,"2,668",29,0,0,592,769,858,420
"Census Tract 5.01, Multnomah County, Oregon",2019,"3,221",39,14,58,731,963,907,509
"Census Tract 5.02, Multnomah County, Oregon",2019,"3,689",180,30,53,776,1199,993,458
"Census Tract 6.01, Multnomah County, Oregon",2019,"4,070",146,111,123,1324,1354,742,270
"Census Tract 6.02, Multnomah County, Oregon",2019,"4,369",124,114,249,1576,1120,872,314
"Census Tract 7.01, Multnomah County, Oregon",2019,"3,451",55,39,52,468,1102,"1,171",564
"Census Tract 7.02, Multnomah County, Oregon",2019,"4,254",129,22,40,866,1259,"1,158",780
"Census Tract 8.01, Multnomah County, Oregon",2019,"3,984",92,0,12,514,1136,"1,265",965
"Census Tract 8.02, Multnomah County, Oregon",2019,"3,852",26,0,116,620,1195,"1,258",637
"Census Tract 9.01, Multnomah County, Oregon",2019,"3,743",18,0,25,262,684,"1,586",1168
"Census Tract 9.02, Multnomah County, Oregon",2019,"3,624",30,32,64,631,1100,"1,157",610
"Census Tract 10, Multnomah County, Oregon",2019,"4,880",41,0,39,616,1268,"1,658",1258
"Census Tract 11.01, Multnomah County, Oregon",2019,"2,461",18,0,17,424,729,830,443
"Census Tract 11.02, Multnomah County, Oregon",2019,"1,164",0,0,0,85,300,470,309
"Census Tract 12.01, Multnomah County, Oregon",2019,"4,339",25,0,8,438,1181,"1,740",947
"Census Tract 12.02, Multnomah County, Oregon",2019,"2,882",0,10,0,217,539,"1,137",979
"Census Tract 13.01, Multnomah County, Oregon",2019,"3,360",34,5,5,260,790,"1,378",888
"Census Tract 13.02, Multnomah County, Oregon",2019,"2,724",24,0,0,167,514,"1,150",869
"Census Tract 14, Multnomah County, Oregon",2019,"4,710",48,0,40,487,1268,"1,682",1185
"Census Tract 15, Multnomah County, Oregon",2019,"2,602",5,0,0,169,722,810,896
"Census Tract 16.01, Multnomah County, Oregon",2019,"5,021",21,6,80,987,1383,"1,580",964
"Census Tract 16.02, Multnomah County, Oregon",2019,"3,419",28,46,11,866,1153,927,388
"Census Tract 17.01, Multnomah County, Oregon",2019,"5,160",91,14,19,858,1517,"1,663",998
"Census Tract 17.02, Multnomah County, Oregon",2019,"3,039",98,1,136,672,1122,680,330
"Census Tract 18.01, Multnomah County, Oregon",2019,"3,719",63,44,37,754,1084,"1,101",636
"Census Tract 18.02, Multnomah County, Oregon",2019,"3,099",0,0,0,384,906,"1,130",679
"Census Tract 19, Multnomah County, Oregon",2019,"3,650",0,11,6,303,554,"1,478",1298
"Census Tract 20, Multnomah County, Oregon",2019,"5,658",17,2,0,446,1209,"2,603",1381
"Census Tract 21, Multnomah County, Oregon",2019,"2,441",0,0,20,341,704,"1,066",310
"Census Tract 22.03, Multnomah County, Oregon",2019,"3,596",29,0,42,471,739,"1,277",1038
"Census Tract 23.03, Multnomah County, Oregon",2019,"2,417",9,0,0,300,715,958,435
"Census Tract 24.01, Multnomah County, Oregon",2019,"2,060",0,0,10,186,414,661,789
"Census Tract 24.02, Multnomah County, Oregon",2019,"2,959",0,0,0,314,680,"1,129",836
"Census Tract 25.01, Multnomah County, Oregon",2019,"3,341",10,6,7,221,375,"1,249",1473
"Census Tract 25.02, Multnomah County, Oregon",2019,"3,939",34,0,14,339,760,"1,843",949
"Census Tract 26, Multnomah County, Oregon",2019,"1,937",0,0,0,45,324,807,761
"Census Tract 27.01, Multnomah County, Oregon",2019,"2,330",0,0,0,151,338,"1,084",757
"Census Tract 27.02, Multnomah County, Oregon",2019,"2,600",22,16,0,451,545,948,618
"Census Tract 28.01, Multnomah County, Oregon",2019,"2,229",29,0,0,248,519,844,589
"Census Tract 28.02, Multnomah County, Oregon",2019,"2,626",3,22,0,326,703,927,645
"Census Tract 29.01, Multnomah County, Oregon",2019,"3,670",93,7,0,737,1017,986,830
