Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+,Education Total,No Formal Education,Elementary School,Middle School,High School,Some college/no degree,Bachelor's degree,Graduate Degree
"Census Tract 1, Multnomah County, Oregon",2019.0,1879.0,0.0,0.15497724803876659,0.059073976,0.359765833,0.480574774,0.14734667670740229,0.04256519597683325,0.0,5117.0,0.0,0.0,0.0013746512831848891,0.17879022170171113,0.4199757418628797,0.6699415947750041,0.6173487516846773
"Census Tract 2, Multnomah County, Oregon",2019.0,1325.0,0.0,0.0,0.009811321,0.429433962,0.549433962,0.025903422459822325,0.0,0.0,4855.0,0.12279037520403835,0.04360581731632468,0.0014488328058632695,0.21852863489145832,0.5893972827950587,0.645700374966202,0.38901485534678787
"Census Tract 3.01, Multnomah County, Oregon",2019.0,847.0,0.0,0.0,0.024793388,0.350649351,0.604486423,0.045924798817451255,0.0,0.0,3573.0,0.03781884310374581,0.0,0.08268452871823066,0.35060051819088656,0.4856707490715447,0.5258195426541978,0.48878376902236487
"Census Tract 3.02, Multnomah County, Oregon",2019.0,2424.0,0.0,0.06346645836365546,0.014851485,0.291254125,0.642739274,0.053805167546932646,0.0,0.0841944634548058,5284.0,0.0,0.0,0.0,0.14099990181495656,0.3349314496881062,0.6412323450455474,0.7776748487124298
"Census Tract 4.01, Multnomah County, Oregon",2019.0,1135.0,0.01975759471848329,0.14038509244490052,0.035242291,0.654625551,0.27753304,0.0,0.0,0.0,2904.0,0.01642279196254548,0.04556349115722984,0.031488698797427904,0.2854832909318377,0.45641115291889756,0.5871197308904291,0.5353966484250663
"Census Tract 4.02, Multnomah County, Oregon",2019.0,962.0,0.026224509702281393,0.0571141560609984,0.108108108,0.760914761,0.111226611,0.0,0.0,0.0,2668.0,0.08639815224235506,0.0,0.0,0.40518870884856434,0.552061271284853,0.5820681652864534,0.31100043139843814
"Census Tract 5.01, Multnomah County, Oregon",2019.0,1096.0,0.04092129609079987,0.0,0.067518248,0.773722628,0.135036496,0.02087715051024383,0.0,0.0,3221.0,0.09624233993491708,0.0575109991302844,0.1266616791210639,0.4144270617117029,0.5726408525143662,0.5096698541531113,0.3121940235792109
"Census Tract 5.02, Multnomah County, Oregon",2019.0,1111.0,0.0,0.0,0.183618362,0.762376238,0.054005401,0.0,0.0,0.0,3689.0,0.3878431631300309,0.10760345520422172,0.10105904428566563,0.38412672234147704,0.6225257127642089,0.4872063928173042,0.24527560193184256
"Census Tract 6.01, Multnomah County, Oregon",2019.0,1147.0,0.014663165901448328,0.04311197621987505,0.327811683,0.636442895,0.016564952,0.0,0.0,0.0319364145364218,4070.0,0.28513513716525823,0.3608628642554299,0.2125781756553462,0.5940390974128422,0.6371930372161588,0.3299756405345765,0.13105900908084586
"Census Tract 6.02, Multnomah County, Oregon",2019.0,1375.0,0.18959208782173542,0.01997957298651915,0.402909091,0.487272727,0.026909091,0.0,0.0,0.06089320567999246,4369.0,0.2255962806006662,0.34525217716687595,0.4008900530653225,0.6587120724113307,0.4910014155004431,0.3612491422577498,0.1419858709682064
"Census Tract 7.01, Multnomah County, Oregon",2019.0,1307.0,0.0,0.0,0.064269319,0.745983168,0.189747513,0.0,0.0,0.0,3451.0,0.12668056993363394,0.1495316992348011,0.10599035702105182,0.24764088556685848,0.6116224260018754,0.6141639509602549,0.3228729583952949
"Census Tract 7.02, Multnomah County, Oregon",2019.0,1330.0,0.0,0.0,0.126315789,0.797744361,0.062406015,0.03096724957889553,0.0,0.0,4254.0,0.2410374485323216,0.06842878130126019,0.06614095887686164,0.371742196958788,0.56685895404356,0.49270101657671755,0.3622385321140067
"Census Tract 8.01, Multnomah County, Oregon",2019.0,1202.0,0.0,0.0,0.105657238,0.519966722,0.37437604,0.0,0.0,0.0,3984.0,0.18355270082092895,0.0,0.021187019440581285,0.23559455148828207,0.5461422399358675,0.5747031540042145,0.4785259694376204
"Census Tract 8.02, Multnomah County, Oregon",2019.0,894.0,0.043896557828632304,0.11677098025654258,0.074944072,0.705816555,0.182326622,0.0,0.0,0.0,3852.0,0.05365118697172459,0.0,0.2118262032012964,0.29391846136075234,0.5941941792667822,0.5911078787304687,0.3267011641593979
