Label (Grouping),Year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $174,999","$175,000 to $199,999","$200,000 to $249,999","$250,000 to $299,999","$300,000 to $399,999","$400,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 to $1,499,999","$1,500,000 to $1,999,999","$2,000,000 or more"
"Census Tract 1, Multnomah County, Oregon",2019,"1,879",0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,17,6,88,46,219,411,767,136,121,15,0
"Census Tract 2, Multnomah County, Oregon",2019,"1,325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,115,125,329,656,72,15,0,0
"Census Tract 3.01, Multnomah County, Oregon",2019,847,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,96,201,351,161,17,0,0
"Census Tract 3.02, Multnomah County, Oregon",2019,"2,424",0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,36,93,197,416,879,679,57,0,39
"Census Tract 4.01, Multnomah County, Oregon",2019,"1,135",8,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,12,28,45,378,320,263,52,0,0,0
"Census Tract 4.02, Multnomah County, Oregon",2019,962,9,0,0,0,0,0,0,0,0,0,0,0,10,9,0,6,20,69,121,382,229,107,0,0,0,0
"Census Tract 5.01, Multnomah County, Oregon",2019,"1,096",10,0,0,0,0,0,0,6,0,0,0,0,0,0,20,8,9,37,193,433,222,140,8,10,0,0
"Census Tract 5.02, Multnomah County, Oregon",2019,"1,111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,41,152,254,449,144,60,0,0,0,0
"Census Tract 6.01, Multnomah County, Oregon",2019,"1,147",0,0,0,6,0,0,0,0,0,9,0,0,0,0,57,49,29,241,343,336,51,19,0,0,0,7
"Census Tract 6.02, Multnomah County, Oregon",2019,"1,375",27,50,0,0,8,0,0,8,0,0,0,0,5,26,28,85,99,316,315,290,65,37,0,0,0,16
"Census Tract 7.01, Multnomah County, Oregon",2019,"1,307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,19,38,133,383,459,240,8,0,0,0
"Census Tract 7.02, Multnomah County, Oregon",2019,"1,330",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,155,310,516,235,83,0,18,0,0
"Census Tract 8.01, Multnomah County, Oregon",2019,"1,202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,121,24,334,267,431,19,0,0,0
"Census Tract 8.02, Multnomah County, Oregon",2019,894,0,0,0,0,0,14,0,0,0,0,0,19,0,0,0,17,0,50,52,234,345,163,0,0,0,0
"Census Tract 9.01, Multnomah County, Oregon",2019,"1,073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,15,159,179,577,107,4,0,0
"Census Tract 9.02, Multnomah County, Oregon",2019,766,0,0,0,0,0,0,0,14,0,0,0,0,0,0,13,0,0,0,94,306,204,135,0,0,0,0
"Census Tract 10, Multnomah County, Oregon",2019,"1,147",0,0,0,0,0,0,0,0,0,12,0,0,0,18,0,0,0,17,50,254,290,479,27,0,0,0
"Census Tract 11.01, Multnomah County, Oregon",2019,162,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,41,46,42,7,0,0
"Census Tract 11.02, Multnomah County, Oregon",2019,290,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,18,68,88,86,18,0,0
"Census Tract 12.01, Multnomah County, Oregon",2019,317,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,45,30,0,49,121,41,14,0,0
"Census Tract 12.02, Multnomah County, Oregon",2019,"1,027",10,0,0,0,0,0,0,10,0,0,9,0,0,0,9,0,0,20,8,65,118,438,268,59,0,13
"Census Tract 13.01, Multnomah County, Oregon",2019,713,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,15,9,14,23,64,245,228,108,0,0,0
"Census Tract 13.02, Multnomah County, Oregon",2019,819,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,12,64,162,467,96,0,0,0
"Census Tract 14, Multnomah County, Oregon",2019,"1,308",0,0,0,0,0,0,0,53,0,0,0,0,0,0,14,0,0,24,88,161,392,576,0,0,0,0
"Census Tract 15, Multnomah County, Oregon",2019,"1,037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,32,0,75,250,457,175,29,12,0
"Census Tract 16.01, Multnomah County, Oregon",2019,"1,559",13,0,0,0,0,0,0,0,0,0,0,0,18,0,6,21,0,47,55,313,308,604,105,27,42,0
"Census Tract 16.02, Multnomah County, Oregon",2019,"1,148",10,48,0,0,21,0,0,0,0,0,0,0,0,0,14,17,55,155,173,447,131,62,0,8,7,0
"Census Tract 17.01, Multnomah County, Oregon",2019,"1,876",0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,15,12,108,194,691,471,332,0,0,0,0
"Census Tract 17.02, Multnomah County, Oregon",2019,872,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,107,42,63,124,328,171,20,0,0,0,0
"Census Tract 18.01, Multnomah County, Oregon",2019,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,33,242,212,181,6,0,0,0
"Census Tract 18.02, Multnomah County, Oregon",2019,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,56,53,141,448,64,42,0,0
"Census Tract 19, Multnomah County, Oregon",2019,"1,509",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,50,76,717,427,124,48,36
"Census Tract 20, Multnomah County, Oregon",2019,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,40,13,109,112,403,80,18,13,0
"Census Tract 21, Multnomah County, Oregon",2019,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,41,81,24,0,0,0
"Census Tract 22.03, Multnomah County, Oregon",2019,707,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,8,75,169,366,72,0,0,0
"Census Tract 23.03, Multnomah County, Oregon",2019,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,11,36,33,68,0,0,0,0
"Census Tract 24.01, Multnomah County, Oregon",2019,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,37,60,430,259,77,11,0
"Census Tract 24.02, Multnomah County, Oregon",2019,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,14,78,127,64,180,66,24,0,0
"Census Tract 25.01, Multnomah County, Oregon",2019,"1,574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,15,45,79,663,592,120,33,9
"Census Tract 25.02, Multnomah County, Oregon",2019,762,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,72,87,20,248,169,57,0,17
"Census Tract 26, Multnomah County, Oregon",2019,957,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,123,533,191,51,0,0
"Census Tract 27.01, Multnomah County, Oregon",2019,"1,175",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,24,0,33,194,496,310,109,0,0
"Census Tract 27.02, Multnomah County, Oregon",2019,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,48,162,276,39,0,0,0
