Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+
"Census Tract 1, Multnomah County, Oregon",2019,1879,0,53,111,676,903,121,15,0
"Census Tract 2, Multnomah County, Oregon",2019,1325,0,0,13,569,728,15,0,0
"Census Tract 3.01, Multnomah County, Oregon",2019,847,0,0,21,297,512,17,0,0
"Census Tract 3.02, Multnomah County, Oregon",2019,2424,0,28,36,706,1558,57,0,39
"Census Tract 4.01, Multnomah County, Oregon",2019,1135,8,29,40,743,315,0,0,0
"Census Tract 4.02, Multnomah County, Oregon",2019,962,9,10,104,732,107,0,0,0
"Census Tract 5.01, Multnomah County, Oregon",2019,1096,16,0,74,848,148,10,0,0
"Census Tract 5.02, Multnomah County, Oregon",2019,1111,0,0,204,847,60,0,0,0
"Census Tract 6.01, Multnomah County, Oregon",2019,1147,6,9,376,730,19,0,0,7
"Census Tract 6.02, Multnomah County, Oregon",2019,1375,93,5,554,670,37,0,0,16
"Census Tract 7.01, Multnomah County, Oregon",2019,1307,0,0,84,975,248,0,0,0
"Census Tract 7.02, Multnomah County, Oregon",2019,1330,0,0,168,1061,83,18,0,0
"Census Tract 8.01, Multnomah County, Oregon",2019,1202,0,0,127,625,450,0,0,0
"Census Tract 8.02, Multnomah County, Oregon",2019,894,14,19,67,631,163,0,0,0
"Census Tract 9.01, Multnomah County, Oregon",2019,1073,0,0,32,353,684,4,0,0
"Census Tract 9.02, Multnomah County, Oregon",2019,766,14,0,13,604,135,0,0,0
"Census Tract 10, Multnomah County, Oregon",2019,1147,0,12,35,594,506,0,0,0
"Census Tract 11.01, Multnomah County, Oregon",2019,162,6,0,0,61,88,7,0,0
"Census Tract 11.02, Multnomah County, Oregon",2019,290,0,0,7,91,174,18,0,0
"Census Tract 12.01, Multnomah County, Oregon",2019,317,0,17,45,79,162,14,0,0
"Census Tract 12.02, Multnomah County, Oregon",2019,1027,20,9,29,191,706,59,0,13
