Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+,Education Total,No Formal Education,Elementary School,Middle School,High School,Some college/no degree,Bachelor's degree,Graduate Degree
"Census Tract 1, Multnomah County, Oregon",2019,1879,0,53,111,676,903,121,15,0,5117,0,0,1,501,1122,1894,1599
"Census Tract 2, Multnomah County, Oregon",2019,1325,0,0,13,569,728,15,0,0,4855,75,16,1,581,1494,1732,956
"Census Tract 3.01, Multnomah County, Oregon",2019,847,0,0,21,297,512,17,0,0,3573,17,0,42,686,906,1038,884
"Census Tract 3.02, Multnomah County, Oregon",2019,2424,0,28,36,706,1558,57,0,39,5284,0,0,0,408,924,1872,2080
"Census Tract 4.01, Multnomah County, Oregon",2019,1135,8,29,40,743,315,0,0,0,2904,6,10,13,454,692,942,787
"Census Tract 4.02, Multnomah County, Oregon",2019,962,9,10,104,732,107,0,0,0,2668,29,0,0,592,769,858,420
"Census Tract 5.01, Multnomah County, Oregon",2019,1096,16,0,74,848,148,10,0,0,3221,39,14,58,731,963,907,509
"Census Tract 5.02, Multnomah County, Oregon",2019,1111,0,0,204,847,60,0,0,0,3689,180,30,53,776,1199,993,458
"Census Tract 6.01, Multnomah County, Oregon",2019,1147,6,9,376,730,19,0,0,7,4070,146,111,123,1324,1354,742,270
"Census Tract 6.02, Multnomah County, Oregon",2019,1375,93,5,554,670,37,0,0,16,4369,124,114,249,1576,1120,872,314
"Census Tract 7.01, Multnomah County, Oregon",2019,1307,0,0,84,975,248,0,0,0,3451,55,39,52,468,1102,1171,564
"Census Tract 7.02, Multnomah County, Oregon",2019,1330,0,0,168,1061,83,18,0,0,4254,129,22,40,866,1259,1158,780
"Census Tract 8.01, Multnomah County, Oregon",2019,1202,0,0,127,625,450,0,0,0,3984,92,0,12,514,1136,1265,965
"Census Tract 8.02, Multnomah County, Oregon",2019,894,14,19,67,631,163,0,0,0,3852,26,0,116,620,1195,1258,637
"Census Tract 9.01, Multnomah County, Oregon",2019,1073,0,0,32,353,684,4,0,0,3743,18,0,25,262,684,1586,1168
"Census Tract 9.02, Multnomah County, Oregon",2019,766,14,0,13,604,135,0,0,0,3624,30,32,64,631,1100,1157,610
"Census Tract 10, Multnomah County, Oregon",2019,1147,0,12,35,594,506,0,0,0,4880,41,0,39,616,1268,1658,1258
"Census Tract 11.01, Multnomah County, Oregon",2019,162,6,0,0,61,88,7,0,0,2461,18,0,17,424,729,830,443
"Census Tract 11.02, Multnomah County, Oregon",2019,290,0,0,7,91,174,18,0,0,1164,0,0,0,85,300,470,309
"Census Tract 12.01, Multnomah County, Oregon",2019,317,0,17,45,79,162,14,0,0,4339,25,0,8,438,1181,1740,947
"Census Tract 12.02, Multnomah County, Oregon",2019,1027,20,9,29,191,706,59,0,13,2882,0,10,0,217,539,1137,979
"Census Tract 13.01, Multnomah County, Oregon",2019,713,7,0,38,332,336,0,0,0,3360,34,5,5,260,790,1378,888
"Census Tract 13.02, Multnomah County, Oregon",2019,819,0,7,11,238,563,0,0,0,2724,24,0,0,167,514,1150,869
