Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+,Education Total,No Formal Education,Elementary School,Middle School,High School,Some college/no degree,Bachelor's degree,Graduate Degree
"Census Tract 1, Multnomah County, Oregon",2019.0,1879.0,0.0,0.028206493,0.059073976,0.359765833,0.480574774,0.064395955,0.00798297,0.0,5117.0,0.0,0.0,0.000195427,0.097908931,0.219269103,0.370138753,0.312487786
"Census Tract 2, Multnomah County, Oregon",2019.0,1325.0,0.0,0.0,0.009811321,0.429433962,0.549433962,0.011320755,0.0,0.0,4855.0,0.015447992,0.003295572,0.000205973,0.119670443,0.307723996,0.356745623,0.196910402
"Census Tract 3.01, Multnomah County, Oregon",2019.0,847.0,0.0,0.0,0.024793388,0.350649351,0.604486423,0.020070838,0.0,0.0,3573.0,0.004757907,0.0,0.011754828,0.191995522,0.25356843,0.290512175,0.247411139
"Census Tract 3.02, Multnomah County, Oregon",2019.0,2424.0,0.0,0.011551155,0.014851485,0.291254125,0.642739274,0.023514851,0.0,0.016089109,5284.0,0.0,0.0,0.0,0.077214232,0.174867525,0.354277063,0.393641181
"Census Tract 4.01, Multnomah County, Oregon",2019.0,1135.0,0.007048458,0.025550661,0.035242291,0.654625551,0.27753304,0.0,0.0,0.0,2904.0,0.002066116,0.003443526,0.004476584,0.156336088,0.238292011,0.324380165,0.27100551
"Census Tract 4.02, Multnomah County, Oregon",2019.0,962.0,0.009355509,0.01039501,0.108108108,0.760914761,0.111226611,0.0,0.0,0.0,2668.0,0.010869565,0.0,0.0,0.221889055,0.288230885,0.321589205,0.157421289
"Census Tract 5.01, Multnomah County, Oregon",2019.0,1096.0,0.01459854,0.0,0.067518248,0.773722628,0.135036496,0.009124088,0.0,0.0,3221.0,0.012108041,0.004346476,0.01800683,0.226948153,0.298975473,0.281589568,0.158025458
"Census Tract 5.02, Multnomah County, Oregon",2019.0,1111.0,0.0,0.0,0.183618362,0.762376238,0.054005401,0.0,0.0,0.0,3689.0,0.048793711,0.008132285,0.014367037,0.21035511,0.325020331,0.269178639,0.124152887
"Census Tract 6.01, Multnomah County, Oregon",2019.0,1147.0,0.005231037,0.007846556,0.327811683,0.636442895,0.016564952,0.0,0.0,0.006102877,4070.0,0.035872236,0.027272727,0.03022113,0.325307125,0.332678133,0.182309582,0.066339066
"Census Tract 6.02, Multnomah County, Oregon",2019.0,1375.0,0.067636364,0.003636364,0.402909091,0.487272727,0.026909091,0.0,0.0,0.011636364,4369.0,0.028381781,0.026092927,0.056992447,0.360723278,0.256351568,0.199588006,0.071869993
