Label (Grouping),Year,Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Census Tract 1.01, Multnomah County, Oregon!!Estimate",2021,"2,114",0,0,0,0,0,0,0,0,0,1,0,0,0,31,1,98,56,26,269,93,957,359,75,148
"Census Tract 1.02, Multnomah County, Oregon!!Estimate",2021,"2,805",0,0,0,0,0,0,0,0,0,0,0,0,0,23,53,183,59,139,193,129,"1,166",514,226,120
"Census Tract 2.01, Multnomah County, Oregon!!Estimate",2021,"2,515",43,0,0,0,0,0,0,0,0,0,0,0,0,106,17,421,24,30,491,89,811,286,129,68
"Census Tract 2.02, Multnomah County, Oregon!!Estimate",2021,"2,320",16,0,0,0,0,0,17,0,0,0,15,0,16,0,25,161,13,168,450,82,663,499,130,65
"Census Tract 3.01, Multnomah County, Oregon!!Estimate",2021,"3,738",0,0,0,0,0,0,0,0,0,16,15,0,3,42,36,535,121,206,524,306,"1,071",657,105,101
"Census Tract 3.02, Multnomah County, Oregon!!Estimate",2021,"5,331",61,0,0,0,0,0,0,0,0,0,0,8,11,18,0,173,99,140,611,243,"1,777","1,536",436,218
"Census Tract 4.01, Multnomah County, Oregon!!Estimate",2021,"2,628",7,0,0,0,0,10,0,0,10,0,0,0,0,9,0,280,101,128,385,157,819,466,164,92
"Census Tract 4.02, Multnomah County, Oregon!!Estimate",2021,"2,710",0,12,0,0,0,0,0,0,0,0,0,7,0,32,44,318,122,209,311,266,881,376,43,89
"Census Tract 5.01, Multnomah County, Oregon!!Estimate",2021,"3,166",27,0,0,0,0,0,0,18,0,26,95,9,31,38,15,372,116,193,400,180,"1,078",461,30,77
"Census Tract 5.02, Multnomah County, Oregon!!Estimate",2021,"3,813",137,0,0,0,0,17,0,0,0,45,11,4,14,20,16,384,150,347,717,242,"1,113",429,140,27
"Census Tract 6.01, Multnomah County, Oregon!!Estimate",2021,"4,083",97,0,0,0,0,0,15,25,60,0,19,40,40,74,128,913,166,233,662,335,871,342,46,17
"Census Tract 6.02, Multnomah County, Oregon!!Estimate",2021,"4,407",139,0,0,0,0,0,9,0,29,0,114,143,48,54,143,992,371,325,491,338,821,310,64,16
"Census Tract 7.01, Multnomah County, Oregon!!Estimate",2021,"3,757",41,0,0,0,0,28,0,0,0,0,25,8,8,19,116,325,100,112,651,391,"1,226",593,40,74
"Census Tract 7.02, Multnomah County, Oregon!!Estimate",2021,"4,727",238,0,0,0,0,0,0,24,0,0,0,23,15,49,56,569,317,278,601,500,"1,191",619,102,145
"Census Tract 8.01, Multnomah County, Oregon!!Estimate",2021,"3,964",36,0,0,0,0,0,0,16,0,0,0,0,10,16,0,297,145,217,738,281,"1,333",410,409,56
"Census Tract 8.02, Multnomah County, Oregon!!Estimate",2021,"3,729",16,0,0,0,0,0,0,0,33,48,15,113,0,65,0,419,56,239,706,243,"1,367",270,90,49
"Census Tract 9.01, Multnomah County, Oregon!!Estimate",2021,"3,315",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,42,58,393,288,"1,497",683,124,65
"Census Tract 9.02, Multnomah County, Oregon!!Estimate",2021,"4,218",114,0,0,0,21,27,0,8,0,0,105,25,17,122,40,465,63,300,879,208,"1,214",494,69,47
"Census Tract 10, Multnomah County, Oregon!!Estimate",2021,"4,666",91,0,0,0,0,0,0,0,0,0,54,10,0,52,187,297,16,125,948,211,"1,353",847,349,126
"Census Tract 11.01, Multnomah County, Oregon!!Estimate",2021,"2,589",9,0,0,0,0,0,0,0,3,0,0,26,27,11,12,272,86,164,513,137,939,304,72,14
"Census Tract 11.02, Multnomah County, Oregon!!Estimate",2021,"1,140",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,8,41,147,71,450,210,89,41
"Census Tract 12.02, Multnomah County, Oregon!!Estimate",2021,"2,844",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,409,17,113,425,75,943,629,148,84
"Census Tract 12.03, Multnomah County, Oregon!!Estimate",2021,"2,489",0,0,0,0,0,0,0,0,6,0,22,0,0,0,0,282,80,19,382,195,"1,158",290,43,12
"Census Tract 12.04, Multnomah County, Oregon!!Estimate",2021,"2,364",8,0,0,0,0,0,0,0,0,0,79,0,0,9,0,139,106,67,414,43,"1,030",274,14,181
"Census Tract 13.01, Multnomah County, Oregon!!Estimate",2021,"3,343",40,0,0,0,0,5,0,0,0,0,0,0,5,10,18,211,11,86,522,159,"1,510",509,154,103
"Census Tract 13.02, Multnomah County, Oregon!!Estimate",2021,"2,877",10,0,0,0,0,0,0,0,0,0,0,0,14,0,1,94,65,63,344,125,"1,199",649,219,94
"Census Tract 14, Multnomah County, Oregon!!Estimate",2021,"4,906",45,0,0,0,0,0,0,0,0,0,16,0,89,0,43,138,142,141,851,336,"1,932",948,85,140
"Census Tract 15, Multnomah County, Oregon!!Estimate",2021,"2,650",5,0,0,0,0,0,0,0,0,0,0,0,0,8,13,183,1,148,264,171,910,683,125,139
"Census Tract 16.01, Multnomah County, Oregon!!Estimate",2021,"4,396",22,0,0,0,0,10,0,0,0,6,30,42,38,54,128,588,107,225,598,132,"1,420",719,220,57
"Census Tract 16.02, Multnomah County, Oregon!!Estimate",2021,"3,758",81,0,0,0,11,25,0,0,0,0,0,5,44,17,58,645,105,251,478,269,"1,344",363,43,19
"Census Tract 17.02, Multnomah County, Oregon!!Estimate",2021,"2,847",72,0,24,0,0,0,0,0,17,0,6,69,42,0,23,361,51,139,458,349,888,235,74,39
"Census Tract 17.03, Multnomah County, Oregon!!Estimate",2021,"3,217",38,0,0,0,0,0,0,0,0,0,0,0,32,227,0,210,17,167,505,171,"1,118",574,75,83
"Census Tract 17.04, Multnomah County, Oregon!!Estimate",2021,"2,091",15,0,0,0,0,0,0,0,0,0,0,37,0,0,201,431,34,59,292,43,516,317,54,92
"Census Tract 18.01, Multnomah County, Oregon!!Estimate",2021,"3,748",38,3,0,0,24,0,0,3,0,0,0,61,35,19,92,495,135,251,544,128,"1,111",525,178,106
"Census Tract 18.02, Multnomah County, Oregon!!Estimate",2021,"2,861",0,0,0,0,0,0,0,0,10,11,0,36,0,0,25,222,62,91,452,262,"1,029",503,84,74
"Census Tract 19, Multnomah County, Oregon!!Estimate",2021,"3,604",9,0,0,0,0,0,0,8,0,0,4,5,9,16,14,169,83,115,377,131,"1,374",846,315,129
"Census Tract 20.01, Multnomah County, Oregon!!Estimate",2021,"2,105",13,0,0,0,0,0,0,0,0,0,0,0,0,0,11,115,94,53,151,119,"1,163",328,51,7
"Census Tract 20.02, Multnomah County, Oregon!!Estimate",2021,"2,979",5,0,0,0,0,0,0,0,0,0,0,0,27,165,19,141,41,107,453,201,"1,119",541,126,34
"Census Tract 21.01, Multnomah County, Oregon!!Estimate",2021,"1,463",0,0,0,0,0,0,0,0,0,0,20,0,2,20,20,116,23,30,193,0,709,320,0,10
"Census Tract 21.02, Multnomah County, Oregon!!Estimate",2021,"1,895",0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,143,8,9,461,28,901,270,41,17
"Census Tract 22.03, Multnomah County, Oregon!!Estimate",2021,"3,695",10,0,0,0,0,0,0,0,0,0,22,0,0,17,12,350,85,79,368,165,"1,174","1,180",131,102
