Label (Grouping),Year,Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
Census Tract 1.01; Multnomah County; Oregon!!Estimate,2022,"2,368",0,0,0,0,0,0,0,0,0,1,0,0,0,22,13,159,31,25,294,91,"1,050",394,137,151
Census Tract 1.02; Multnomah County; Oregon!!Estimate,2022,"2,925",0,0,0,0,0,0,0,0,0,0,0,0,0,21,48,164,16,170,236,163,"1,208",568,151,180
Census Tract 2.01; Multnomah County; Oregon!!Estimate,2022,"2,645",46,0,0,0,0,0,0,0,0,0,0,0,0,103,18,288,48,98,462,104,775,347,257,99
Census Tract 2.02; Multnomah County; Oregon!!Estimate,2022,"2,457",33,0,0,0,0,0,13,0,0,0,15,0,14,0,20,191,34,145,371,132,754,574,137,24
Census Tract 3.01; Multnomah County; Oregon!!Estimate,2022,"3,565",0,0,0,0,0,0,0,0,0,28,20,0,3,39,9,351,64,285,504,314,"1,066",742,101,39
Census Tract 3.02; Multnomah County; Oregon!!Estimate,2022,"5,274",61,0,0,0,0,0,0,0,0,0,0,0,11,17,0,229,76,153,521,201,"1,731","1,626",372,276
Census Tract 4.01; Multnomah County; Oregon!!Estimate,2022,"2,694",7,0,0,0,0,0,0,0,11,0,0,0,0,0,12,295,110,135,338,145,868,546,147,80
Census Tract 4.02; Multnomah County; Oregon!!Estimate,2022,"2,593",0,11,0,0,0,0,0,0,0,0,0,8,0,0,23,251,108,221,204,293,976,364,53,81
Census Tract 5.01; Multnomah County; Oregon!!Estimate,2022,"3,227",36,0,0,0,0,0,0,11,6,13,86,0,6,12,29,333,110,223,377,231,"1,210",415,34,95
Census Tract 5.02; Multnomah County; Oregon!!Estimate,2022,"3,638",135,0,0,0,0,0,0,3,0,44,5,0,11,20,5,482,105,264,729,207,974,517,114,23
Census Tract 6.01; Multnomah County; Oregon!!Estimate,2022,"4,033",117,0,0,0,0,0,13,9,34,0,19,35,24,66,112,"1,061",182,246,536,267,847,403,46,16
Census Tract 6.02; Multnomah County; Oregon!!Estimate,2022,"4,288",152,0,0,0,0,0,7,0,93,0,26,36,46,105,132,"1,102",474,286,516,245,665,314,84,5
Census Tract 7.01; Multnomah County; Oregon!!Estimate,2022,"3,765",37,0,0,0,0,0,0,0,0,0,27,9,10,32,149,300,144,156,708,344,"1,193",545,73,38
Census Tract 7.02; Multnomah County; Oregon!!Estimate,2022,"4,434",105,0,0,0,0,0,0,34,0,0,0,88,25,31,34,569,247,306,485,431,"1,235",602,103,139
Census Tract 8.01; Multnomah County; Oregon!!Estimate,2022,"3,700",0,0,0,0,0,0,0,17,0,0,14,0,10,21,0,254,63,115,626,227,"1,229",475,577,72
Census Tract 8.02; Multnomah County; Oregon!!Estimate,2022,"3,773",56,0,0,0,0,0,0,0,41,2,32,87,0,99,36,426,55,224,620,240,"1,418",271,126,40
Census Tract 9.01; Multnomah County; Oregon!!Estimate,2022,"3,075",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,225,76,49,309,210,"1,320",690,115,77
Census Tract 9.02; Multnomah County; Oregon!!Estimate,2022,"4,078",69,0,0,0,0,0,0,26,0,0,11,30,13,117,47,418,79,203,845,252,"1,387",458,82,41
Census Tract 10; Multnomah County; Oregon!!Estimate,2022,"4,677",74,0,0,0,0,0,0,0,0,0,59,9,0,61,141,312,21,149,"1,023",404,"1,283",740,270,131
Census Tract 11.01; Multnomah County; Oregon!!Estimate,2022,"2,714",0,0,0,0,0,0,0,0,43,0,0,16,14,10,8,277,81,147,528,149,959,381,76,25
Census Tract 11.02; Multnomah County; Oregon!!Estimate,2022,"1,142",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,9,26,122,61,476,212,106,48
Census Tract 12.02; Multnomah County; Oregon!!Estimate,2022,"2,681",0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,403,15,64,288,77,956,553,190,114
Census Tract 12.03; Multnomah County; Oregon!!Estimate,2022,"2,476",0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,235,108,33,319,223,"1,077",326,119,14
Census Tract 12.04; Multnomah County; Oregon!!Estimate,2022,"2,358",12,0,0,0,0,0,0,0,0,0,73,0,0,14,0,131,98,102,341,44,"1,077",246,60,160
Census Tract 13.01; Multnomah County; Oregon!!Estimate,2022,"3,352",44,0,0,0,0,0,0,0,0,0,0,0,0,4,10,231,17,90,439,255,"1,486",519,146,111
Census Tract 13.02; Multnomah County; Oregon!!Estimate,2022,"2,965",8,0,0,0,0,0,0,0,0,0,0,0,19,0,14,131,87,82,314,122,"1,201",689,204,94
Census Tract 14; Multnomah County; Oregon!!Estimate,2022,"4,747",82,0,0,0,0,0,0,0,0,0,18,0,60,0,39,146,87,93,696,270,"1,998",980,122,156
Census Tract 15; Multnomah County; Oregon!!Estimate,2022,"2,720",5,0,0,0,0,0,0,0,0,0,0,5,0,1,7,155,1,136,259,103,"1,020",677,189,162
Census Tract 16.01; Multnomah County; Oregon!!Estimate,2022,"4,690",16,0,0,0,0,7,0,0,0,0,0,17,38,60,131,697,109,238,586,137,"1,551",803,219,81
Census Tract 16.02; Multnomah County; Oregon!!Estimate,2022,"3,770",90,0,0,0,8,23,0,0,37,13,0,5,48,13,52,602,80,307,504,319,"1,219",377,57,16
Census Tract 17.02; Multnomah County; Oregon!!Estimate,2022,"3,019",39,0,32,0,0,0,0,0,23,0,7,68,28,43,51,423,105,188,313,252,"1,058",300,49,40
Census Tract 17.03; Multnomah County; Oregon!!Estimate,2022,"3,163",21,0,0,0,0,0,0,0,0,0,11,0,27,190,14,157,25,142,431,161,"1,188",606,101,89
Census Tract 17.04; Multnomah County; Oregon!!Estimate,2022,"2,297",0,0,0,0,0,0,0,0,0,0,0,30,0,0,219,399,0,80,259,72,763,334,82,59
Census Tract 18.01; Multnomah County; Oregon!!Estimate,2022,"3,534",9,3,0,0,0,0,0,4,0,0,0,76,29,22,80,448,109,322,489,120,"1,075",485,153,110
Census Tract 18.02; Multnomah County; Oregon!!Estimate,2022,"2,948",0,0,0,0,0,0,0,0,6,7,0,11,0,0,20,195,35,61,437,208,"1,179",590,71,128
Census Tract 19; Multnomah County; Oregon!!Estimate,2022,"3,656",8,0,0,0,0,0,0,0,0,0,7,0,0,19,12,146,73,76,385,136,"1,326",882,454,132
