Label (Grouping),Year,Total:,"    Less than $10,000","    $10,000 to $14,999","    $15,000 to $19,999","    $20,000 to $24,999","    $25,000 to $29,999","    $30,000 to $34,999","    $35,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 to $89,999","    $90,000 to $99,999","    $100,000 to $124,999","    $125,000 to $149,999","    $150,000 to $174,999","    $175,000 to $199,999","    $200,000 to $249,999","    $250,000 to $299,999","    $300,000 to $399,999","    $400,000 to $499,999","    $500,000 to $749,999","    $750,000 to $999,999","    $1,000,000 to $1,499,999","    $1,500,000 to $1,999,999","    $2,000,000 or more"
"Census Tract 1.01, Multnomah County, Oregon!!Estimate",2020,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,30,30,123,152,172,70,12,0,0
"Census Tract 1.02, Multnomah County, Oregon!!Estimate",2020,"1,196",0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,40,0,200,177,566,72,96,13,0
"Census Tract 2.01, Multnomah County, Oregon!!Estimate",2020,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,32,141,442,65,18,0,0
"Census Tract 2.02, Multnomah County, Oregon!!Estimate",2020,569,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,194,314,33,0,0,0
"Census Tract 3.01, Multnomah County, Oregon!!Estimate",2020,"1,019",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,60,189,535,201,17,0,0
"Census Tract 3.02, Multnomah County, Oregon!!Estimate",2020,"2,461",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,17,48,147,416,867,749,164,0,39
"Census Tract 4.01, Multnomah County, Oregon!!Estimate",2020,"1,062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,7,49,257,345,333,51,0,0,0
"Census Tract 4.02, Multnomah County, Oregon!!Estimate",2020,965,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,39,59,80,315,301,149,5,0,0,0
"Census Tract 5.01, Multnomah County, Oregon!!Estimate",2020,"1,236",9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,8,22,110,650,237,169,8,9,0,0
"Census Tract 5.02, Multnomah County, Oregon!!Estimate",2020,"1,204",0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,17,113,176,486,339,52,0,0,0,0
"Census Tract 6.01, Multnomah County, Oregon!!Estimate",2020,"1,687",0,0,0,7,0,0,9,0,0,8,0,0,0,0,6,59,16,188,381,493,94,135,284,0,0,7
"Census Tract 6.02, Multnomah County, Oregon!!Estimate",2020,"1,219",12,49,0,0,0,0,0,18,0,0,0,0,7,26,25,25,75,187,252,394,76,57,0,0,0,16
"Census Tract 7.01, Multnomah County, Oregon!!Estimate",2020,"1,421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,9,29,65,463,540,271,7,0,0,0
"Census Tract 7.02, Multnomah County, Oregon!!Estimate",2020,"1,281",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,63,197,465,457,64,0,18,0,0
"Census Tract 8.01, Multnomah County, Oregon!!Estimate",2020,"1,183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,14,256,226,596,13,0,0,0
"Census Tract 8.02, Multnomah County, Oregon!!Estimate",2020,"1,124",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,17,12,376,415,270,0,0,0,0
"Census Tract 9.01, Multnomah County, Oregon!!Estimate",2020,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,102,165,513,113,7,0,0
"Census Tract 9.02, Multnomah County, Oregon!!Estimate",2020,744,0,0,0,0,0,0,0,17,0,0,0,0,0,0,14,0,0,0,41,222,231,219,0,0,0,0
"Census Tract 10, Multnomah County, Oregon!!Estimate",2020,"1,067",0,0,0,0,0,0,0,0,0,12,0,0,0,40,0,0,0,0,43,244,222,428,43,35,0,0
"Census Tract 11.01, Multnomah County, Oregon!!Estimate",2020,127,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,12,41,45,6,0,0
