Label (Grouping),Year,Total:,"    Less than $10,000","    $10,000 to $14,999","    $15,000 to $19,999","    $20,000 to $24,999","    $25,000 to $29,999","    $30,000 to $34,999","    $35,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 to $89,999","    $90,000 to $99,999","    $100,000 to $124,999","    $125,000 to $149,999","    $150,000 to $174,999","    $175,000 to $199,999","    $200,000 to $249,999","    $250,000 to $299,999","    $300,000 to $399,999","    $400,000 to $499,999","    $500,000 to $749,999","    $750,000 to $999,999","    $1,000,000 to $1,499,999","    $1,500,000 to $1,999,999","    $2,000,000 or more"
Census Tract 1.01; Multnomah County; Oregon!!Estimate,2022,747,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,20,11,0,75,181,181,163,67,0,0
Census Tract 1.02; Multnomah County; Oregon!!Estimate,2022,"1,151",0,0,0,0,0,0,0,0,0,29,0,0,0,26,0,0,0,15,18,149,49,506,294,65,0,0
Census Tract 2.01; Multnomah County; Oregon!!Estimate,2022,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,171,474,168,17,0,0
Census Tract 2.02; Multnomah County; Oregon!!Estimate,2022,654,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,329,177,0,0,0
Census Tract 3.01; Multnomah County; Oregon!!Estimate,2022,"1,018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,190,501,240,39,9,0
Census Tract 3.02; Multnomah County; Oregon!!Estimate,2022,"2,461",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,17,122,724,"1,200",331,26,0
Census Tract 4.01; Multnomah County; Oregon!!Estimate,2022,"1,098",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,80,266,625,80,34,0,0
Census Tract 4.02; Multnomah County; Oregon!!Estimate,2022,"1,003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,25,22,147,389,357,48,6,0,0
Census Tract 5.01; Multnomah County; Oregon!!Estimate,2022,"1,295",0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,6,0,0,48,286,501,410,7,9,0,0
Census Tract 5.02; Multnomah County; Oregon!!Estimate,2022,"1,282",0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,28,68,366,557,245,0,0,0,0
Census Tract 6.01; Multnomah County; Oregon!!Estimate,2022,"1,520",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,38,151,551,328,206,228,0,0,9
Census Tract 6.02; Multnomah County; Oregon!!Estimate,2022,"1,185",0,0,16,0,0,0,0,20,0,0,0,0,0,11,0,11,8,29,107,551,215,131,81,0,0,5
Census Tract 7.01; Multnomah County; Oregon!!Estimate,2022,"1,370",0,0,0,0,0,0,0,0,23,0,0,0,0,0,8,0,23,27,1,150,563,521,54,0,0,0
Census Tract 7.02; Multnomah County; Oregon!!Estimate,2022,"1,410",0,0,0,0,0,0,0,0,0,16,0,0,0,0,13,0,0,0,28,236,678,392,13,34,0,0
Census Tract 8.01; Multnomah County; Oregon!!Estimate,2022,"1,257",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,19,48,253,543,348,0,0,0
Census Tract 8.02; Multnomah County; Oregon!!Estimate,2022,"1,109",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,15,179,406,458,43,0,0,0
Census Tract 9.01; Multnomah County; Oregon!!Estimate,2022,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,27,108,517,158,60,0,0
Census Tract 9.02; Multnomah County; Oregon!!Estimate,2022,693,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,83,245,326,29,0,0,0
Census Tract 10; Multnomah County; Oregon!!Estimate,2022,"1,222",0,0,0,0,0,0,9,0,0,0,28,0,0,51,0,0,0,0,0,134,190,528,241,41,0,0
Census Tract 11.01; Multnomah County; Oregon!!Estimate,2022,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,19,27,42,58,0,0
Census Tract 11.02; Multnomah County; Oregon!!Estimate,2022,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,7,151,105,59,0,30
Census Tract 12.02; Multnomah County; Oregon!!Estimate,2022,979,25,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,0,25,46,205,468,170,0,22
Census Tract 12.03; Multnomah County; Oregon!!Estimate,2022,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,251,71,0,0,0
Census Tract 12.04; Multnomah County; Oregon!!Estimate,2022,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,26,0,26,92,0,0,0
Census Tract 13.01; Multnomah County; Oregon!!Estimate,2022,678,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,122,88,278,135,42,0,0
Census Tract 13.02; Multnomah County; Oregon!!Estimate,2022,998,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,40,79,607,251,13,0,0
Census Tract 14; Multnomah County; Oregon!!Estimate,2022,"1,413",0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,31,0,40,288,697,249,61,0,0
Census Tract 15; Multnomah County; Oregon!!Estimate,2022,"1,119",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,67,447,514,52,6,18
